name,address,postcode,phone,gender_profile,size,day_boarding_type,religious_affiliation
Salcombe Preparatory School,"224-226 Chase Side, London, N14 4PL",N14 4PL,+44 (0)20 8441 5356,Coeducational,236,Day,All Faiths
Haberdashers' Girls' School,"Aldenham Road, Elstree, Borehamwood, Hertfordshire, WD6 3BT",WD6 3BT,+44 (0)20 8266 2300,Girls only,1170,Day,Christian
Lyonsdown School,"3 Richmond Road, New Barnet, Hertfordshire, EN5 1SA",EN5 1SA,020 8449 0225,Girls only,159,Day,Christian
"St George's School, Ascot","Wells Lane, Ascot, Berkshire, SL5 7DZ",SL5 7DZ,+44 (0)1344 629900,Girls only,268,"Day, Weekly/Flexible Boarding, Full Boarding",Christian
Belmont School,"Feldemore, Holmbury St Mary, Dorking, Surrey, RH5 6LQ",RH5 6LQ,+44 (0)1306 730852,Coeducational,242,"Day, Weekly/Flexible Boarding",Christian
Benedict House Preparatory School,"1-5 Victoria Road, , Sidcup, Kent, DA15 7HD",DA15 7HD,020 8300 7206,,,,
The Haberdashers' Boys' Prep School,"Butterfly Lane, Elstree, Hertfordshire, WD6 3AF",WD6 3AF,+44 (0)20 8266 1700,Boys only,333,Day,Christian
Haberdashers' Boys' School,"Butterfly Lane, Elstree, Hertfordshire, WD6 3AF",WD6 3AF,+44 (0)20 8266 1700,Boys only,1136,Day,Christian
West Lodge School,"36 Station Road, Sidcup, Kent, DA15 7DU",DA15 7DU,+44 (0)20 8300 2489,Coeducational,164,Day,All Faiths
Susi Earnshaw Theatre School,"The Bull Theatre, 68 High Street, London, EN5 5SJ",EN5 5SJ,+44 (0)20 8441 5010,Coeducational,39,Day,Non-denominational
"St Mary's School, Gerrards Cross","Packhorse Road, Gerrards Cross, Buckinghamshire, SL9 8JQ",SL9 8JQ,+44 (0)1753 883370,Girls only,427,Day,Church of England
St Mary's School Ascot,"St Mary's Road, Ascot, Ascot, Berkshire, SL5 9JF",SL5 9JF,+44 (0)1344 296600,Girls only,393,"Day, Full Boarding",Roman Catholic
Tormead School,"Cranley Road, Guildford, Surrey, GU1 2JD",GU1 2JD,+44 (0)1483 575101,Girls only,787,Day,Interdenominational
Woodcote House School,"Snow's Ride, Windlesham, Surrey, GU20 6PF",GU20 6PF,+44 (0)1276 472115,Boys only,83,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England/Interdenominational
Dair House School,"Bishops Blake, Beaconsfield Road, Farnham Royal, Slough, Buckinghamshire, SL2 3BY",SL2 3BY,+44 (0)1753 643964,Coeducational,113,Day,All Faiths
Vita et Pax Preparatory School,"6A Priory Close, Green Road, London, N14 4AT",N14 4AT,2084498336,Coeducational,107,Day,All Faiths
Keble Prep School,"Wades Hill, Winchmore Hill, London, N21 1BG",N21 1BG,+44 (0)20 8360 3359,Boys only,131,Day,All Faiths
Thorpe House School,"29 Oval Way, Gerrards Cross, Buckinghamshire, SL9 8QA",SL9 8QA,+44 (0)1753 882474,Boys only,276,Day,Church of England
Papplewick,"Windsor Road, Ascot, Berkshire, SL5 7LH",SL5 7LH,+44 (0)1344 621488,Boys only,225,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Merton Court Preparatory School,"38 Knoll Road, Sidcup, Kent, DA14 4QU",DA14 4QU,+44 (0)20 8300 2112,Coeducational,308,Day,Church of England
Guildford High School,"London Road, Guildford, Surrey, GU1 1SJ",GU1 1SJ,+44 (0)1483 561440,Girls only,1002,Day,Church of England/Interdenominational
Caldicott,"Crown Lane, Farnham Royal, Buckinghamshire, SL2 3SL",SL2 3SL,+44 (0)1753 649300,Boys only,245,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Aldenham School,"Aldenham Road, Elstree, Hertfordshire, WD6 3AJ",WD6 3AJ,+44 (0)1923 858122,Coeducational,866,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Forest School,"College Place, London, E17 3PY",E17 3PY,+44 (0)20 8520 1744,Coeducational,1521,Day,Church of England
Hazelwood School,"Wolfs Hill, Limpsfield, Oxted, Surrey, RH8 0QU",RH8 0QU,+44 (0)1883 712194,Coeducational,577,Day,Church of England
Gayhurst School,"Bull Lane, Gerrards Cross, Buckinghamshire, SL9 8RJ",SL9 8RJ,+44 (0)1753 882690,Coeducational,361,Day,Church of England
The Purcell School for Young Musicians,"Aldenham Road, Bushey, Watford, Hertfordshire, WD23 2TS",WD23 2TS,+44 (0)1923 331100,Coeducational,185,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
Grange Park Preparatory School,"13 The Chine, Grange Park, N21 2EA",N21 2EA,+44 (0)20 8360 1469,Coeducational,123,Day,All Faiths
Hall Grove,"London Road, Bagshot, Surrey, GU19 5HZ",GU19 5HZ,+44 (0)1276 473059,Coeducational,415,"Day, Weekly/Flexible Boarding",Non-denominational
Maltman's Green School,"Maltmans Lane, Gerrards Cross, Buckinghamshire, SL9 8RR",SL9 8RR,+44 (0)1753 883022,Girls only,328,Day,Non-denominational
Radlett Preparatory School,"Kendal Hall, Watling Street, Radlett, Hertfordshire, WD7 7LY",WD7 7LY,01923 856812,,,,
Mount House School,"Camlet Way, Hadley Wood, Barnet, Hertfordshire, EN4 0NJ",EN4 0NJ,020 8449 6889,Coeducational,275,Day,All Faiths
Royal Grammar School Guildford,"High Street, Guildford, Surrey, GU1 3BB",GU1 3BB,+44 (0)1483 880600,Boys only,1314,Day,Non-denominational
Snaresbrook Preparatory School,"75 Woodford Road, South Woodford, E18 2EA",E18 2EA,+44 (0)20 8989 2394,Coeducational,140,Day,Church of England/Interdenominational
Rydes Hill Preparatory School & Nursery,"Rydes Hill House, Aldershot Road, Guildford, Surrey, GU2 8BP",GU2 8BP,+44 (0)1483 563160,Girls (some boys),146,Day,Roman Catholic
Hurtwood House,"Holmbury St Mary, Dorking, Surrey, RH5 6NU",RH5 6NU,+44 (0)1483 279000,Coeducational,355,"Day, Full Boarding",Non-denominational
The Royal Masonic School for Girls,"Rickmansworth Park, Rickmansworth, Hertfordshire, WD3 4HF",WD3 4HF,+44 (0)1923 773168,Girls (some boys),999,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
Charlotte House Preparatory School,"88 The Drive, Rickmansworth, Hertfordshire, WD3 4DU",WD3 4DU,+44 (0)1923 772101,Girls only,99,Day,All Faiths
Apex Primary School,"60-62 Argyle Road, Ilford, Essex, IG1 3BG",IG1 3BG,020 8554 1208,Coeducational,120,Day,Islamic
Duke of Kent School,"Peaslake Road, Ewhurst, Surrey, GU6 7NS",GU6 7NS,+44 (0)1483 277313,Coeducational,323,Day,All Faiths
Edge Grove,"Aldenham Village, Aldenham Village, Hertfordshire, WD25 8NL",WD25 8NL,+44 (0)1923 855724,Coeducational,427,Day,All Faiths
St Aubyn's School,"Bunces Lane, Woodford Green, Essex, IG8 9DU",IG8 9DU,+44 (0)20 8504 1577,Coeducational,504,Day,Non-denominational
LVS Ascot,"London Road, Ascot, Berkshire, SL5 8DR",SL5 8DR,+44 (0)1344 882770,Coeducational,839,"Day, Weekly/Flexible Boarding, Full Boarding",All Faiths
The Ursuline Preparatory School Ilford,"2-4 Coventry Road, Ilford, Essex, IG1 4QR",IG1 4QR,+44 (0)20 8518 4050,Coeducational,94,Day,Roman Catholic
Heathfield School,"London Road, Ascot, Berkshire, SL5 8BQ",SL5 8BQ,+44 (0)1344 898343,Girls only,238,"Day, Weekly/Flexible Boarding, Full Boarding",Christian
York House School,"Sarratt Road, Croxley Green, Rickmansworth, Hertfordshire, WD3 4LW",WD3 4LW,+44 (0)1923 772395,Coeducational,397,Day,All Faiths
Beehive Preparatory School,"233 Beehive Lane, Ilford, Essex, IG4 5ED",IG4 5ED,020 8550 3224,Coeducational,64,Day,Non-denominational
Browns School,"Hawstead Lane, Chelsfied, Kent, BR6 7PH",BR6 7PH,01689 876 816,,,,
Lambrook,"Winkfield Row, Nr Ascot, Bracknell, Berkshire, RG42 6LU",RG42 6LU,+44 (0)1344 882717,Coeducational,633,"Day, Weekly/Flexible Boarding",Church of England
Woodford Green Prep School,"Glengall Road, Woodford Green, Essex, IG8 0BZ",IG8 0BZ,+44 (0)20 8504 5045,Coeducational,379,Day,Christian
Avon House School,"490/492 High Road, Woodford Green, IG8 0PN",IG8 0PN,020 8504 1749,Coeducational,272,Day,Non-denominational
Stanborough Secondary School,"Stanborough Park, Cedar Wood Drive, Garston, Watford, Hertfordshire, WD25 9JT",WD25 9JT,+44 (0)1923 673268,Coeducational,63,Day,Seventh-Day Adventist
Bancroft's School,"High Road, Woodford Green, Essex, IG8 0RF",IG8 0RF,+44 (0)20 8505 4821,Coeducational,1141,Day,Church of England
St Catherine's Preparatory School,"Station Road, Bramley, Guildford, Surrey, GU5 0DF",GU5 0DF,+44 (0)1483 899665,Girls only,222,Day,Church of England
"St Catherine's, Bramley","Station Road, Bramley, Guildford, Surrey, GU5 0DF",GU5 0DF,+44 (0)1483 893363,Girls only,626,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
St John's Preparatory and Senior School,"The Ridgeway, Potters Bar, Hertfordshire, EN6 5QT",EN6 5QT,01707 657294,Coeducational,472,Day,Christian
Normanhurst School,"68-74 Station Road, North Chingford, London, E4 7BA",E4 7BA,+44 (0)20 8529 4307,Coeducational,281,Day,Interdenominational
Longacre School,"Hullbrook Lane, Shamley Green, Guildford, Surrey, GU5 0NQ",GU5 0NQ,+44 (0)1483 893225,Coeducational,268,Day,All Faiths
Alamiyah School,"113-115 Marlborough Road, Dagenham, Essex, RM8 2ES",RM8 2ES,020 8595 5999,Coeducational,37,Day,Islamic
Eastcourt Independent School,"1-5 Eastwood Road, Goodmayes, Ilford, IG3 8UW",IG3 8UW,2085905472,,,,
Radnor House Sevenoaks,"Combe Bank Drive, Sundridge, Sevenoaks, Kent, TN14 6AE",TN14 6AE,+44 (0)1959 563720,Coeducational,533,Day,All Faiths
The Daiglen School,"68 Palmerston Road, Buckhurst Hill, Essex, IG9 5LG",IG9 5LG,+44 (0)20 8504 7108,Coeducational,120,Day,Christian
Loyola Preparatory School,"103 Palmerston Road, Buckhurst Hill, Essex, IG9 5NH",IG9 5NH,+44 (0)20 8504 7372,Boys only,158,Day,Roman Catholic
Manor Lodge School,"Rectory Lane, Ridge Hill, Shenley, Hertfordshire, WD7 9BG",WD7 9BG,+44 (0)1707 642424,Coeducational,457,Day,All Faiths
